seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;392;0,002351999999999978;593,7094382784201
columna_70x70;0,0;393;0,0023579999999999777;594,3598158810233
columna_70x70;0,0;394;0,0023639999999999777;595,0987222558421
columna_70x70;0,0;395;0,0023699999999999776;595,8476673787197
columna_70x70;0,0;396;0,0023759999999999775;596,5965583185964
columna_70x70;0,0;397;0,0023819999999999775;597,3453950564186
columna_70x70;0,0;398;0,0023879999999999774;598,0941775731866
columna_70x70;0,0;399;0,0023939999999999773;598,8429058498884
columna_70x70;0,0;400;0,0023999999999999772;599,5915798675005
columna_70x70;0,0;401;0,0024059999999999767;600,3401996069846
columna_70x70;0,0;402;0,0024119999999999767;601,0887650492925
columna_70x70;0,0;403;0,0024179999999999766;601,837276175362
columna_70x70;0,0;404;0,0024239999999999765;602,5857329661186
columna_70x70;0,0;405;0,0024299999999999764;603,3341354024758
columna_70x70;0,0;406;0,0024359999999999764;604,0824834653334
columna_70x70;0,0;407;0,0024419999999999763;604,8307771355804
columna_70x70;0,0;408;0,0024479999999999767;605,5790163940916
columna_70x70;0,0;409;0,0024539999999999766;606,3272012217296
columna_70x70;0,0;410;0,002459999999999977;607,0753315993448
columna_70x70;0,0;411;0,002465999999999977;607,8234075077745
columna_70x70;0,0;412;0,0024719999999999773;608,571428927844
columna_70x70;0,0;413;0,002477999999999977;609,3193958403642
columna_70x70;0,0;414;0,0024839999999999775;610,0673082261367
columna_70x70;0,0;415;0,0024899999999999775;610,8151660659481
columna_70x70;0,0;416;0,002495999999999978;611,5856342883735
columna_70x70;0,0;417;0,002501999999999978;612,4199129635739
columna_70x70;0,0;418;0,002507999999999978;613,2541300099541
columna_70x70;0,0;419;0,002513999999999978;614,0882854045585
columna_70x70;0,0;420;0,0025199999999999784;614,9223791244902
columna_70x70;0,0;421;0,0025259999999999783;615,7564111468362
columna_70x70;0,0;422;0,0025319999999999787;616,590381448668
columna_70x70;0,0;423;0,0025379999999999786;617,4242900070393
columna_70x70;0,0;424;0,002543999999999979;618,2581367989911
columna_70x70;0,0;425;0,002549999999999979;619,091921801547
columna_70x70;0,0;426;0,0025559999999999793;619,9256449917136
columna_70x70;0,0;427;0,0025619999999999792;620,7593063464815
columna_70x70;0,0;428;0,0025679999999999796;621,5929058428287
columna_70x70;0,0;429;0,0025739999999999795;622,4264434577129
columna_70x70;0,0;430;0,0025799999999999794;623,2599191680781
columna_70x70;0,0;431;0,00258599999999998;624,0933329508504
columna_70x70;0,0;432;0,0025919999999999797;624,9266847829424
columna_70x70;0,0;433;0,0025979999999999805;625,7599746412494
columna_70x70;0,0;434;0,00260399999999998;626,5932025026499
columna_70x70;0,0;435;0,002609999999999981;627,4263683440072
columna_70x70;0,0;436;0,0026159999999999808;628,2594721421679
columna_70x70;0,0;437;0,002621999999999981;629,0925138739636
columna_70x70;0,0;438;0,002627999999999981;629,9254935162064
columna_70x70;0,0;439;0,0026339999999999814;630,7584110456971
columna_70x70;0,0;440;0,0026399999999999813;631,5912664392173
columna_70x70;0,0;441;0,0026459999999999813;632,4240596735333
columna_70x70;0,0;442;0,0026519999999999816;633,3017413528205
columna_70x70;0,0;443;0,0026579999999999816;634,209681637896
columna_70x70;0,0;444;0,002663999999999982;635,1175525415506
